"Consider a set of n tasks with known runtimes r1, r2, … rn to be run on a uniprocessor machine. Which of the following processor scheduling algorithms will result in the maximum throughput?",Round-Robin    ,Shortest-Job-First,Highest-Response-Ratio-Next,First-Come-First-Served,b,,,
"Consider three CPU-intensive processes, which require 10, 20 and 30 time units and arrive at times 0, 2 and 6, respectively. How many context switches are needed if the operating system implements a shortest remaining time first scheduling algorithm? Do not count the context switches at time zero and at the end.",1,2,3,4,b,,,
"Four jobs to be executed on a single processor system arrive at time 0 in the order A, B, C, D. their burst CPU time requirements are 4, 1, 8, 1 time units respectively. The completion time of A under round  robin scheduling with time slice of one time unit is ",10,4,8,9,d,,,
"A uni-processor computer system only has two processes, both of which alternate 10 ms CPU bursts with 90 ms I/O bursts. Both the processes were created at nearly the same time. The I/O of both processes can proceed in parallel. Which of the following scheduling strategies will result in the least CPU utilization (over a long period of time) for this system? ",First come first served scheduling ,Shortest remaining time first scheduling ,Static priority scheduling with different priorities for the two processes ,Round robin scheduling with a time quantum of 5 ms,d,,,
"Consider three processes (process id 0, 1, 2 respectively) with compute time bursts 2, 4 and 8 time units. All processes arrive at time zero. Consider the longest remaining time first (LRTF) scheduling algorithm. In LRTF ties are broken by giving priority to the process with the lowest process id. The average turn around time is:",13 units,14 units,15 units,16 units,a,,,
The time taken to switch between user and kernel modes of execution be t1 while the time taken to switch between two processes be t2. Which of the following is TRUE?,t1>t2,t1=t2,t1<t2,nothing can be said about the relation between t1 and t2,c,,,
"A thread is usually defined as a ""light weight process"" because an operating system (OS) maintains smaller data structures for a thread than for a process. In relation to this, which of the following is TRUE?","On per-thread basis, the OS maintains only CPU register state",The OS does not maintain a separate stack for each thread,"On per-thread basis, the OS does not maintain virtual memory state","On per-thread basis, the OS maintains only scheduling and accounting information",c,,,
"Consider two processors P1 and P2 executing the same instruction set. Assume that under identical conditions, for the same input, a program running on P2 takes 25% less time but incurs 20% more CPI (clock cycles per instruction) as compared to the program running on P1. If the clock frequency of P1 is 1GHz, then the clock frequency of P2 (in GHz) is _________.",1.6,3.2,1.2,0.8,a,,,
Processes P1 and P2 use critical_flag in the following routine to achieve mutual exclusion. Assume that critical_flag is initialized to FALSE in the main program.get_exclusive_access ( ) { if (critical _flag == FALSE) { critical_flag = TRUE , critical_region () , critical_flag = FALSE, } } Consider the following statements                                  i. It is possible for both P1 and P2 to access critical_region concurrently.   ii. This may lead to a deadlock.                                     Which of the following holds?,(i) is false and (ii) is true,Both (i) and (ii) are false,(i) is true and (ii) is false,Both (i) and (ii) are true,c
"The following is a code with two threads, producer and consumer, that can run in parallel. Further, S and Q are binary semaphores equipped with the standard P and V operations. semaphore S = 1, Q = 0; integer x; producer:                            consumer: while (true) do                    while (true) do P(S);                                      P(Q); x = produce ();                    consume (x); V(Q);                                     V(S); done                                       done Which of the following is TRUE about the program above?",The process can deadlock,One of the threads can starve,Some of the items produced by the producer may be lost,Values generated and stored in 'x' by the producer will always be consumed before the producer can generate a new value,d,,,
